age,female,from,healthy,mild,severe,death
113,1,healthy,0.794058452,0.038615197,0.004419658,0.162906692
114,1,healthy,0.853090867,0.025178449,0.002970378,0.118760306
51,0,mild,0.437252541,0.393704684,0.109825597,0.059217178
52,0,mild,0.419958395,0.400211289,0.117319926,0.06251039
53,0,mild,0.403924999,0.405480391,0.124644721,0.065949889
54,0,mild,0.389012037,0.409670815,0.131777699,0.069539449
55,0,mild,0.375076749,0.412940406,0.13870354,0.073279305
56,0,mild,0.361977355,0.415443393,0.145413539,0.077165712
57,0,mild,0.349575547,0.41732871,0.151905243,0.081190501
58,0,mild,0.337738301,0.418739009,0.158182072,0.085340618
59,0,mild,0.326339215,0.419810179,0.164252925,0.089597681
60,0,mild,0.315259519,0.420671207,0.170131741,0.093937533
61,0,mild,0.304388898,0.42144425,0.175837034,0.098329819
62,0,mild,0.293626212,0.422244823,0.181391357,0.102737607
63,0,mild,0.28288017,0.423182039,0.186820722,0.10711707
64,0,mild,0.272070017,0.424358808,0.192153926,0.11141725
65,0,mild,0.261126251,0.425871981,0.197421811,0.115579957
66,0,mild,0.250008639,0.427784922,0.202648642,0.119557797
67,0,mild,0.238753618,0.430045759,0.207827176,0.123373448
68,0,mild,0.227414137,0.43257091,0.212940388,0.127074566
69,0,mild,0.216041409,0.435272723,0.217969243,0.130716625
70,0,mild,0.204685011,0.438059511,0.222892891,0.134362587
71,0,mild,0.193392814,0.440835555,0.227688821,0.13808281
72,0,mild,0.182210768,0.44350108,0.232332925,0.141955227
73,0,mild,0.171182569,0.445952147,0.236799433,0.14606585
74,0,mild,0.160349245,0.448080452,0.241060691,0.150509612
75,0,mild,0.149748704,0.449772974,0.245086719,0.155391602
76,0,mild,0.139420712,0.450920062,0.248843046,0.160816179
77,0,mild,0.129420553,0.45144375,0.252286893,0.166848804
78,0,mild,0.11979862,0.451277031,0.255373676,0.173550673
79,0,mild,0.110594497,0.450355623,0.258058581,0.180991299
80,0,mild,0.101837333,0.448617408,0.260296193,0.189249066
81,0,mild,0.09354646,0.446001798,0.262040032,0.19841171
82,0,mild,0.085732217,0.442449095,0.263242038,0.20857665
83,0,mild,0.078396924,0.437899933,0.26385205,0.219851093
84,0,mild,0.071535948,0.432294922,0.263817345,0.232351784
85,0,mild,0.06513882,0.425574602,0.263082336,0.246204241
86,0,mild,0.059201516,0.417684304,0.261591558,0.261522622
87,0,mild,0.053753786,0.408595443,0.259303814,0.278346958
88,0,mild,0.048815742,0.39830514,0.256191801,0.296687317
89,0,mild,0.044389606,0.386833515,0.2522408,0.316536078
90,0,mild,0.04046445,0.374223669,0.247449333,0.337862547
91,0,mild,0.037020495,0.360541668,0.241829927,0.36060791
92,0,mild,0.034032855,0.345876367,0.235409856,0.384680922
93,0,mild,0.031474684,0.330338789,0.228231722,0.409954806
94,0,mild,0.029319773,0.314060801,0.220353643,0.436265783
95,0,mild,0.027544711,0.297192819,0.211848865,0.463413604
96,0,mild,0.026130735,0.279900398,0.202804607,0.491164259
97,0,mild,0.025065466,0.262359684,0.193320048,0.519254802
98,0,mild,0.024344724,0.244751888,0.18350345,0.547399938
99,0,mild,0.023974695,0.227257067,0.173468551,0.575299686
100,0,mild,0.023974768,0.210047669,0.163330408,0.602647155
101,0,mild,0.024381512,0.193282299,0.153201008,0.629135181
102,0,mild,0.025254451,0.177100191,0.143184939,0.654460419
103,0,mild,0.026684629,0.161616745,0.133375398,0.678323227
104,0,mild,0.02880749,0.146920343,0.123850722,0.700421445
105,0,mild,0.031822458,0.133070448,0.114671504,0.720435591
106,0,mild,0.036022951,0.120096799,0.105878195,0.738002055
107,0,mild,0.04184264,0.107999342,0.097488912,0.752669105
108,0,mild,0.049926758,0.096748388,0.089497015,0.763827838
109,0,mild,0.06124105,0.086284463,0.081867905,0.770606583
110,0,mild,0.077233746,0.076517493,0.074534529,0.771714232
111,0,mild,0.100061376,0.06732566,0.0673917,0.765221264
112,0,mild,0.132858212,0.058556179,0.060291313,0.748294295
113,0,mild,0.179926319,0.050034742,0.053045796,0.716993142
114,0,mild,0.246473846,0.041598313,0.045457681,0.666470161
51,1,mild,0.45981667,0.37390416,0.122655604,0.043623565
52,1,mild,0.442165705,0.380544517,0.131184348,0.04610543
53,1,mild,0.425771465,0.385996193,0.139534359,0.048697983
54,1,mild,0.410501365,0.390412702,0.147681107,0.051404826
55,1,mild,0.396217439,0.393947338,0.155608187,0.054227036
56,1,mild,0.382780147,0.396750247,0.163306811,0.057162795
57,1,mild,0.370051223,0.398966479,0.170775283,0.060207016
58,1,mild,0.357895802,0.400734799,0.178018445,0.063350953
59,1,mild,0.346184027,0.402187042,0.185047118,0.066581813
60,1,mild,0.334792306,0.403447841,0.191877504,0.069882349
61,1,mild,0.323604356,0.404634613,0.198530553,0.073230478
62,1,mild,0.312512143,0.405857667,0.205031277,0.076598912
63,1,mild,0.301416786,0.40722038,0.211408005,0.079954829
64,1,mild,0.290229496,0.408819339,0.217691553,0.083259612
65,1,mild,0.278872571,0.410744429,0.223914311,0.086468689
66,1,mild,0.267299847,0.413053697,0.230101179,0.089545277
67,1,mild,0.255550724,0.415699183,0.236244085,0.092506008
68,1,mild,0.243683686,0.418604269,0.24232515,0.095386895
69,1,mild,0.231755765,0.42168907,0.248324868,0.098230296
70,1,mild,0.219822481,0.424870448,0.254222353,0.101084718
71,1,mild,0.207937622,0.428062024,0.259995541,0.104004813
72,1,mild,0.196152907,0.431174172,0.265621315,0.107051605
73,1,mild,0.184517553,0.43411396,0.271075494,0.110292993
74,1,mild,0.17307777,0.436785,0.276332663,0.113804567
75,1,mild,0.161876247,0.439087177,0.281365784,0.117670793
